MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,15,0.00
0102,1,14,7.14
0103,0,15,0.00
0104,1,15,6.67
0105,1,15,6.67
0106,0,15,0.00
0107,0,15,0.00
0108,0,14,0.00
0109,0,13,0.00
0110,0,14,0.00
0111,0,14,0.00
0112,1,14,7.14
0113,1,14,7.14
0114,1,14,7.14
0115,1,15,6.67
0116,1,16,6.25
0117,0,16,0.00
0118,1,16,6.25
0119,0,16,0.00
0120,0,17,0.00
0121,0,16,0.00
0122,0,16,0.00
0123,0,17,0.00
0124,0,17,0.00
0125,1,17,5.88
0126,2,17,11.76
0127,2,18,11.11
0128,0,18,0.00
0129,0,18,0.00
0130,1,18,5.56
0131,1,18,5.56
0201,0,18,0.00
0202,0,18,0.00
0203,1,18,5.56
0204,0,18,0.00
0205,0,18,0.00
0206,1,18,5.56
0207,2,17,11.76
0208,2,17,11.76
0209,1,17,5.88
0210,0,17,0.00
0211,0,17,0.00
0212,0,17,0.00
0213,1,17,5.88
0214,2,17,11.76
0215,2,17,11.76
0216,1,17,5.88
0217,2,17,11.76
0218,3,17,17.65
0219,1,17,5.88
0220,1,17,5.88
0221,0,17,0.00
0222,0,17,0.00
0223,0,16,0.00
0224,2,17,11.76
0225,1,17,5.88
0226,0,17,0.00
0227,2,17,11.76
0228,0,17,0.00
0229,1,4,25.00
0301,1,17,5.88
0302,2,18,11.11
0303,3,18,16.67
0304,6,18,33.33
0305,4,16,25.00
0306,6,16,37.50
0307,3,16,18.75
0308,2,16,12.50
0309,3,16,18.75
0310,3,15,20.00
0311,6,15,40.00
0312,4,15,26.67
0313,4,15,26.67
0314,6,15,40.00
0315,5,15,33.33
0316,6,15,40.00
0317,7,15,46.67
0318,4,15,26.67
0319,6,16,37.50
0320,6,16,37.50
0321,7,16,43.75
0322,6,17,35.29
0323,4,17,23.53
0324,3,17,17.65
0325,3,17,17.65
0326,3,17,17.65
0327,5,17,29.41
0328,6,17,35.29
0329,4,17,23.53
0330,3,17,17.65
0331,5,17,29.41
0401,6,16,37.50
0402,4,17,23.53
0403,6,17,35.29
0404,7,16,43.75
0405,8,16,50.00
0406,4,16,25.00
0407,7,16,43.75
0408,7,15,46.67
0409,6,15,40.00
0410,5,15,33.33
0411,6,16,37.50
0412,6,16,37.50
0413,8,17,47.06
0414,11,17,64.71
0415,9,17,52.94
0416,6,17,35.29
0417,4,16,25.00
0418,7,16,43.75
0419,7,16,43.75
0420,7,16,43.75
0421,9,16,56.25
0422,9,16,56.25
0423,11,16,68.75
0424,8,15,53.33
0425,6,15,40.00
0426,7,16,43.75
0427,5,16,31.25
0428,10,17,58.82
0429,12,17,70.59
0430,8,17,47.06
0501,8,18,44.44
0502,7,18,38.89
0503,10,18,55.56
0504,10,18,55.56
0505,10,17,58.82
0506,12,17,70.59
0507,10,17,58.82
0508,7,17,41.18
0509,7,16,43.75
0510,9,16,56.25
0511,11,16,68.75
0512,12,16,75.00
0513,14,16,87.50
0514,12,16,75.00
0515,10,16,62.50
0516,12,16,75.00
0517,10,16,62.50
0518,9,16,56.25
0519,7,15,46.67
0520,7,15,46.67
0521,9,15,60.00
0522,6,14,42.86
0523,7,16,43.75
0524,6,16,37.50
0525,8,16,50.00
0526,10,16,62.50
0527,11,17,64.71
0528,9,17,52.94
0529,10,17,58.82
0530,10,17,58.82
0531,15,17,88.24
0601,14,17,82.35
0602,12,17,70.59
0603,11,17,64.71
0604,12,17,70.59
0605,11,17,64.71
0606,12,17,70.59
0607,11,17,64.71
0608,11,17,64.71
0609,11,17,64.71
0610,12,17,70.59
0611,10,17,58.82
0612,9,17,52.94
0613,10,15,66.67
0614,12,15,80.00
0615,13,15,86.67
0616,11,15,73.33
0617,9,16,56.25
0618,8,16,50.00
0619,12,16,75.00
0620,13,16,81.25
0621,13,16,81.25
0622,14,15,93.33
0623,14,16,87.50
0624,15,15,100.00
0625,15,16,93.75
0626,14,16,87.50
0627,15,16,93.75
0628,15,16,93.75
0629,15,16,93.75
0630,13,17,76.47
